[2026-04-19 14:45:32] ALERT | EAR=0.200<0.22 | EAR:0.200 | Model:Awake | Emotion:sad
[2026-04-19 14:45:34] ALERT | EAR=0.143<0.22 | EAR:0.143 | Model:Awake | Emotion:sad
[2026-04-19 14:45:36] ALERT | EAR=0.217<0.22 | EAR:0.217 | Model:Awake | Emotion:sad
[2026-04-19 14:45:38] ALERT | EAR=0.171<0.22 | EAR:0.171 | Model:Awake | Emotion:sad
[2026-04-19 14:45:40] ALERT | EAR=0.190<0.22 | EAR:0.190 | Model:Awake | Emotion:surprise
[2026-04-19 14:45:42] ALERT | EAR=0.077<0.22 | EAR:0.077 | Model:Awake | Emotion:sad
[2026-04-19 14:45:44] ALERT | EAR=0.178<0.22 | EAR:0.178 | Model:Awake | Emotion:fear
[2026-04-19 14:46:13] ALERT | EAR=0.178<0.22 | EAR:0.178 | Model:Awake | Emotion:sad
[2026-04-19 14:46:20] ALERT | EAR=0.208<0.22 | EAR:0.208 | Model:Awake | Emotion:sad
[2026-04-19 14:46:44] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-19 14:46:46] ALERT | Model=Drowsy | EAR:0.252 | Model:Drowsy | Emotion:sad
[2026-04-19 14:46:53] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-19 14:46:55] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-19 14:46:59] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-19 14:47:01] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-19 14:47:05] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-19 14:47:07] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-19 14:47:11] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-19 14:47:13] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-19 14:47:17] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-19 14:47:19] ALERT | Model=Drowsy | EAR:0.229 | Model:Drowsy | Emotion:sad
[2026-04-19 14:47:29] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-19 14:47:31] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-19 14:47:41] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-19 14:47:43] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-19 14:48:15] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:neutral
[2026-04-19 14:48:17] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:neutral
[2026-04-19 14:48:24] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-19 14:48:26] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-19 14:48:57] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-19 14:48:59] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-19 14:49:18] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:neutral
[2026-04-19 14:49:20] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:neutral
[2026-04-19 14:49:22] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-19 14:51:18] ALERT | EAR=0.161<0.22 | EAR:0.161 | Model:Awake | Emotion:sad
